Name,Designation,Company,LinkedIn ID,LinkedIn URL,Source,Confidence,Match Evidence,Requested Company,Requested Designation
Sumit Malhotra,Chief Information Officer,Times Internet,buzzsumit,https://www.linkedin.com/in/buzzsumit/,google_browser,92,"Sumit Malhotra - Chief Information Officer @ Times Internet LinkedIn · Sumit Malhotra 8.3K+ followers Web results Sumit Malhotra - Chief Information Officer @ Times Internet LinkedIn · Sumit Malhotra 8.3K+ followers LinkedIn · Sumit Malhotra 8.3K+ followers Delhi, India · Chief Information Officer and Head - Cloud Platform and Site Reliability · Times Internet Chief Information Officer @ Times Internet · Business-focused and result-oriented leader with 20+ years track record in digital and information technology ...",Times Internet,CIO
Rahul K. Rao,“Chief Information Officer | Driving Digital,Times Internet,rahul-k-rao-10a4a4b,https://www.linkedin.com/in/rahul-k-rao-10a4a4b/,ddgs,92,"Rahul K. Rao - “Chief Information Officer | Driving Digital “As a Chief Information Officer, I specialize in driving digital transformation, building scalable technology ecosystems, and aligning IT strategy with business growth. Strong community and social services professional with a Bachelor’s Degree focused in Economics from Ruia College,Mumbai, INDIA. · Experience: Times Internet · Education: Ramnarain Ruia... Sr Manager @ Times Internet | CISSP | Security+ | IT Infrastructure/Operations | Cloud | SRE · Accomplished professional with over 20 years of experience in IT Infrastructure, IT Security, Site... The role required me to enhance value and support for the marketers and publishers wo",Times Internet,CIO
Ashish Jaiswal,Chief Technology Officer,Times Internet,jaiswalashish,https://www.linkedin.com/in/jaiswalashish/,google_browser,92,"Ashish Jaiswal - Chief Technology Officer at Times Internet LinkedIn · Ashish Jaiswal 5.8K+ followers Web results Ashish Jaiswal - Chief Technology Officer at Times Internet LinkedIn · Ashish Jaiswal 5.8K+ followers LinkedIn · Ashish Jaiswal 5.8K+ followers Noida, Uttar Pradesh, India · Chief Technology Officer · Times Internet Chief Technology Officer at Times Internet · • Extensive experience in senior leadership roles, product building, technology and process strategies.",Times Internet,CTO
Ashish Ladhani,Chief Technology Officer,Vakrangee Limited,ashishladhani,https://www.linkedin.com/in/ashishladhani/,ddgs,88,"Ashish Ladhani - Chief Technology Officer This award is a testament to the incredible journey I’ve had at Vakrangee Ltd as Chief Technology Officer, where we continue to push boundaries in building secure, intelligent, and... · Experience: Vakrangee Limited · Location: Mumbai · 304 connections on LinkedIn. View Abhay Kumar’s profile on LinkedIn, a professional community of 1 billion members. Chief AI & Technology Officer, AWS · I returned to AWS as Chief AI &amp; Technology Officer in 2026, after almost 15 years here earlier in my career and most recently leading commercial ...",Vakrangee,CTO
Rahul Ayyappan,Co-Founder & CTO,Finacus Solutions Pvt,rahul-ayyappan-b4a100115,https://www.linkedin.com/in/rahul-ayyappan-b4a100115/,ddgs,88,"Rahul Ayyappan - Co-Founder & CTO at Finacus Solutions Pvt Co-Founder & CTO at Finacus Solutions Pvt Ltd · Experience: Finacus Solutions · Location: {:currentLocation} · 500+ connections on LinkedIn. Chief Executive Officer at Finacus Solutions · Chief Executive Officer with a demonstrated history of working in the Digital Payment Processing, Information Technology and Services industry. As an Enterprise Solution Architect at Finacus Solutions, I specialize in digital banking solutions and product optimization for NBFCs and banks. With 15+ years in banking and fintech, I have a... · Experience: Finacus Solutions · Education: Bsc, DE, MCP, MCSE, CIISA, CISP, Cyber Law · Location: India · 175 ",Finacus,CTO
Ramesh Lakshminarayanan,"CIO , Group Head IT",HDFC Bank,ramesh-lakshminarayanan-8ab67b10,https://www.linkedin.com/in/ramesh-lakshminarayanan-8ab67b10/,ddgs,92,"Ramesh Lakshminarayanan - CIO , Group Head IT at HDFC Bank CIO , Group Head IT at HDFC Bank · Responsible for technology and digital transformation at HDFC Bank · Experience: HDFC Bank · Education: University of Pune · Location: Thane · 500+... Experience: HDFC Bank · Education: Institute For Technology and Management · Location: Mumbai · 500+ connections on LinkedIn. View Shashikant Kurhade’s profile on LinkedIn, a professional... Digital & Information Technology Advisor (Financial Services) · In one of my previous role, I designed the IT Strategy and carried out its implementation at HDFC Bank Limited, India's 2nd... Passionate about enhancing organizational capability as a critical compon",HDFC Bank,CIO
Avijit Singh,Chief Information Officer | Senior Technology,HDFC Bank,avijitsingh,https://www.linkedin.com/in/avijitsingh/,ddgs,92,"Avijit Singh - Chief Information Officer | Senior Technology #CTO #CIO #IT Head · Location: Mumbai. 500+ connections on LinkedIn. View Avijit Singh’s profile on LinkedIn, a professional community of 1 billion members. · Experience: HDFC Bank · Education: MIT Professional Education · Location: Mumbai · 500+ connections on LinkedIn. View Yashojeet Bhattacharya’s profile on LinkedIn, a professional... Head - Digital Technology, HDFC BANK · Experience across technology environments, functions and roles in organizations spanning multiple domains (capital markets, investment banking,...",HDFC Bank,CIO
Ravi Pratap Singh,CTO | Fintech | Payments,SBI Payment Services Pvt. Ltd.,ravi-pr-singh,https://www.linkedin.com/in/ravi-pr-singh/,ddgs,88,"Ravi Pratap Singh - CTO | Fintech | Payments CTO | Fintech | Payments · using technology to solve complex business problems. · Experience: SBI Payment Services Pvt. Ltd. · Education: National Institute of Technology Warangal · Location:... State Bank of India (SBI) a Fortune 500 company, is an Indian Multinational, Public Sector Banking and Financial services statutory body headquartered in Mumbai. The rich heritage and legacy of... Jul 2, 2026 · Chief Technology Officer (CTO) of SBI IT Strategy Board Committee member of SBI… · Experience: State Bank of India · Education: Anna University · Location: India · 500+ connections on... In my current role in SBI's Tech leadership, I am responsible ",SBI,CTO
victoria dsilva,CTO,PNB,victoria-dsilva-26501242,https://www.linkedin.com/in/victoria-dsilva-26501242/,ddgs,92,"victoria dsilva - CTO at PNB CTO at PNB · Experience: PNB · Location: Mumbai · 6 connections on LinkedIn. View victoria dsilva’s profile on LinkedIn, a professional community of 1 billion members. CTO at punjab national bank · Experience: punjab national bank · Education: gibb high school Kumta · Location: Thane · 80 connections on LinkedIn. View shridhar shanbhag’s profile on... Mar 1, 2010 · Member of the State Department's Global Entrepreneurship Program (GEP) PNB/NAPEO's Investor Delegation to Maghreb, North Africa.",PNB,CTO
Bhuvanendran Kamak,CIO,Transunion CIBIL,bhuvanendrankamak,https://www.linkedin.com/in/bhuvanendrankamak/,ddgs,92,"Bhuvanendran Kamak - CIO at Transunion CIBIL CIO at Transunion CIBIL · Experience: Credit Information Bureau (India) Limited · Location: Mumbai · 500+ connections on LinkedIn. View Bhuvanendran Kamak’s profile on LinkedIn, a... TransUnion CIBIL Limited is a credit information company operating in India. TransUnion is one of four credit bureaus operating in India and is part of TransUnion, an American multinational... CIO Walgreens | Former Board Director: Hawaiian Airlines, TransUnion CIBIL | Angel Investor || All posts and activity are personal opinions, no official position expressed or implied. · With 30 ... Leading a team of 10+ credit analysts across three locations (Pune, Delhi and Mum",TransUnion CIBIL,CIO
