Name,Designation,Company,LinkedIn ID,LinkedIn URL,Source,Confidence,Match Evidence,Requested Company,Requested Designation
Narendra Babu,Chief Technology Officer,PayU,narendra-babu-4780444,https://www.linkedin.com/in/narendra-babu-4780444/,google_browser,92,"Narendra Babu - Chief Technology Officer at PayU LinkedIn · Narendra Babu 4.6K+ followers Web results Narendra Babu - Chief Technology Officer at PayU LinkedIn · Narendra Babu 4.6K+ followers LinkedIn · Narendra Babu 4.6K+ followers Bengaluru, Karnataka, India · Chief Technology Officer · PayU Chief Technology Officer at PayU · Technology leader with proven expertise of building highly successful and talented teams. Passionate about scaling tech ...",PayU,CTO
Hammad Azzam,CIO,Citi -- Operations Technology,hammad-azzam-27851785,https://www.linkedin.com/in/hammad-azzam-27851785/,google_browser,88,"Hammad Azzam - CIO at Citi -- Operations Technology LinkedIn · Hammad Azzam 5.7K+ followers Hammad Azzam - CIO at Citi -- Operations Technology LinkedIn · Hammad Azzam 5.7K+ followers LinkedIn · Hammad Azzam 5.7K+ followers Hammad Azzam. CIO at Citi -- Operations Technology. Citi Tufts University. Irving, Texas, United States. Read more",Citi,CIO
Finn McCann,Chief Technology Officer,Navi Group,finnmccann,https://www.linkedin.com/in/finnmccann/,google_browser,88,"Finn McCann - Chief Technology Officer at Navi Group LinkedIn · Finn McCann 830+ followers Finn McCann - Chief Technology Officer at Navi Group LinkedIn · Finn McCann 830+ followers LinkedIn · Finn McCann 830+ followers Ireland · Chief Technology Officer · Navi Group Experience. Navi Group. 9 years 7 months · Navi Group Graphic. Chief Technology Officer . Navi Group. Apr 2020 - Present 6 years 5 months. Dublin, Ireland. Read more",Navi,CTO
Mubin Yousuf,CTO and Co-Founder,Navi Medical,mubinyousuf,https://www.linkedin.com/in/mubinyousuf/,google_browser,88,Mubin Yousuf - CTO and Co-Founder at Navi Medical Mubin Yousuf - CTO and Co-Founder at Navi Medical ... LinkedIn · Mubin Yousuf 1.7K+ followers LinkedIn · Mubin Yousuf 1.7K+ followers Greater Melbourne Area · CTO and Cofounder · Navi Medical Technologies CTO and Co-Founder at Navi Medical Technologies · Experience: Navi Medical Technologies · Education: University of Melbourne · Location: Greater Melbourne ...,Navi,CTO
Mark Marinelli,CTO,Navi,mark-marinelli-70b7a737,https://www.linkedin.com/in/mark-marinelli-70b7a737/,google_browser,92,"Mark Marinelli - CTO at Navi LinkedIn · Mark Marinelli 950+ followers Mark Marinelli - CTO at Navi LinkedIn · Mark Marinelli 950+ followers LinkedIn · Mark Marinelli 950+ followers St Augustine, Florida, United States · Chief Technology Officer · Navi Experience · Navi Graphic. Chief Technology Officer . Navi · Tamr Inc. 3 years 6 months · Lavastorm. 9 years 4 months · Senior Sales Engineer. Macrovision. Nov 2006 ... Read more",Navi,CTO
Sudesh Puthran,CIO,Credit Information Bureau (India),sudesh-puthran-a80a9416,https://www.linkedin.com/in/sudesh-puthran-a80a9416/,google_browser,88,"Sudesh Puthran - CIO at Credit Information Bureau (India) Sudesh Puthran - CIO at Credit Information Bureau (India) ... LinkedIn · Sudesh Puthran 10+ followers LinkedIn · Sudesh Puthran 10+ followers Mumbai, Maharashtra, India · CIO · Credit Information Bureau (India) Limited Sudesh Puthran · CIO at Credit Information Bureau (India) Limited · View mutual connections with Sudesh · Experience · Education · View Sudesh's full profile. Read more",Bureau,CIO
sandeep verma,CIO,Intelligence Bureau,sandeep-verma-2a289759,https://www.linkedin.com/in/sandeep-verma-2a289759/,google_browser,88,"sandeep verma - CIO at Intelligence Bureau LinkedIn · sandeep verma 4 followers sandeep verma - CIO at Intelligence Bureau LinkedIn · sandeep verma 4 followers LinkedIn · sandeep verma 4 followers Etawah, Uttar Pradesh, India · CIO · Intelligence Bureau sandeep verma. CIO at Intelligence Bureau . Intelligence Bureau . Etawah, Uttar Pradesh, India. 4 followers. See your mutual connections. View mutual connections ... Read more",Bureau,CIO
Mangala Kuppa,Chief Information Officer(CIO) *Views are,U.S. ... Bureau of Labor Statistics. 10 years 2 months. Read more,mangala-kuppa,https://www.linkedin.com/in/mangala-kuppa/,google_browser,88,Mangala Kuppa - Chief Information Officer(CIO) *Views are Mangala Kuppa - Chief Information Officer(CIO) *Views are ... LinkedIn · Mangala Kuppa 1.4K+ followers LinkedIn · Mangala Kuppa 1.4K+ followers Washington DC-Baltimore Area · Chief Information Officer(CIO) · U.S. Department of Labor Chief Information Officer ( CIO ) *Views are personal* · Experience: U.S. ... Bureau of Labor Statistics. 10 years 2 months. Read more,Bureau,CIO
Sandesh Gs,"CTO, Bureau",Bureau,sandeshgs,https://www.linkedin.com/in/sandeshgs/,google_browser,92,"Sandesh Gs - CTO, Bureau LinkedIn · Sandesh Gs 4.8K+ followers Web results Sandesh Gs - CTO, Bureau LinkedIn · Sandesh Gs 4.8K+ followers LinkedIn · Sandesh Gs 4.8K+ followers Bengaluru, Karnataka, India · CTO · Bureau CTO , Bureau · · Experience: Bureau · Education: R. V. College of Engineering, Bangalore · Location: Bengaluru · 500+ connections on LinkedIn.",Bureau,CTO
Geoff S.,Chief Technology Officer,Federal Bureau of,geoffswanstrom,https://www.linkedin.com/in/geoffswanstrom/,google_browser,88,Geoff S. - Chief Technology Officer at Federal Bureau of Geoff S. - Chief Technology Officer at Federal Bureau of ... LinkedIn · Geoff S. 560+ followers LinkedIn · Geoff S. 560+ followers Chief Technology Officer at Federal Bureau of Investigation (FBI) · I am the CTO and Acting Deputy CIO for the FBI. My work focuses on modernizing and ...,Bureau,CTO
