Name,Designation,Company,Location,LinkedIn ID,LinkedIn URL,Source,Confidence,Evidence
Troy Stuart,Chief Digital Officer,Bandhan Bank Mumbai,Mumbai,troy-stuart-75111615,https://www.linkedin.com/in/troy-stuart-75111615/,google_browser,75,"Troy Stuart - Chief Digital Officer - Bandhan Bank Mumbai LinkedIn · Troy Stuart 370+ followers Troy Stuart - Chief Digital Officer - Bandhan Bank Mumbai LinkedIn · Troy Stuart 370+ followers LinkedIn · Troy Stuart 370+ followers Mumbai Metropolitan Region · Chief Digital Officer · Bandhan Bank, Mumbai Chief Digital Officer - Bandhan Bank Mumbai · Experience: Bandhan Bank, Mumbai · Location: Mumbai Metropolitan Region · 152 connections on LinkedIn. Troy Stuart - Chief Digital Officer - Bandhan Bank Mumbai LinkedIn · Troy Stuart 370+ followers Troy Stuart - Chief Digital Officer - Bandhan Bank Mumbai LinkedIn · Troy Stuart 370+ followers LinkedIn · Troy Stuart 370+ followers Mumbai Metropolitan Region · Chief Digital Officer · Bandhan Bank, Mumbai Chief Digital Officer - Bandhan Bank Mumbai · Experience: Bandhan Bank, Mumbai · Location: Mumbai Metropolitan Region · 152 connections on LinkedIn."
Shallu Kaushik,Chief Digital Officer,Tata Capital,Mumbai,shallu-kaushik-b84a387,https://www.linkedin.com/in/shallu-kaushik-b84a387/,google_browser,75,"Shallu Kaushik - Chief Digital Officer at Tata Capital LinkedIn · Shallu Kaushik 1.7K+ followers Shallu Kaushik - Chief Digital Officer at Tata Capital LinkedIn · Shallu Kaushik 1.7K+ followers LinkedIn · Shallu Kaushik 1.7K+ followers Chief Digital Officer at Tata Capital. Tata Capital Institute of Management Technology, Ghaziabad. Mumbai, Maharashtra, India . 2K followers 500+ connections. Read more Shallu Kaushik - Chief Digital Officer at Tata Capital LinkedIn · Shallu Kaushik 1.7K+ followers Shallu Kaushik - Chief Digital Officer at Tata Capital LinkedIn · Shallu Kaushik 1.7K+ followers LinkedIn · Shallu Kaushik 1.7K+ followers Chief Digital Officer at Tata Capital. Tata Capital Institute of Management Technology, Ghaziabad. Mumbai, Maharashtra, India . 2K followers 500+ connections. Read more"
Satish Patil,"Group Chief Digital Officer, Digital Evangelist",Unknown,Mumbai,satishhpatil,https://www.linkedin.com/in/satishhpatil/,google_browser,75,"Satish Patil - Group Chief Digital Officer, Digital Evangelist Satish Patil - Group Chief Digital Officer, Digital Evangelist ... LinkedIn · Satish Patil 2.7K+ followers LinkedIn · Satish Patil 2.7K+ followers India · Welspun Corporation - Group Chief Digital & Information Officer · Welspun World 2 years. Mumbai, Maharashtra, India . Larsen &amp; Toubro Graphic. Chief Digital Officer ( CDO ). Larsen & Toubro. Oct 2018 - Feb 2023 4 years 5 months ... Read more Satish Patil - Group Chief Digital Officer, Digital Evangelist Satish Patil - Group Chief Digital Officer, Digital Evangelist ... LinkedIn · Satish Patil 2.7K+ followers LinkedIn · Satish Patil 2.7K+ followers India · Welspun Corporation - Group Chief Digital & Information Officer · Welspun World 2 years. Mumbai, Maharashtra, India . Larsen &amp; Toubro Graphic. Chief Digital Officer (CDO). Larsen & Toubro. Oct 2018 - Feb 2023 4 years 5 months ... Read more"
Jitendra Mangave,CTO / CIO / CDO,Unknown,Mumbai,jitendramangave,https://www.linkedin.com/in/jitendramangave/,google_browser,75,"Jitendra Mangave - CTO / CIO / CDO LinkedIn · Jitendra Mangave 11.4K+ followers Jitendra Mangave - CTO / CIO / CDO LinkedIn · Jitendra Mangave 11.4K+ followers LinkedIn · Jitendra Mangave 11.4K+ followers Mumbai, Maharashtra, India · CIO, CTO · Metro Brands Limited Future Group India. May 2022 - Nov 2022 7 months. Mumbai, Maharashtra, India . As Group CIO / CTO at Future Group, I oversaw SAP systems, packaged and custom ... Read more Jitendra Mangave - CTO / CIO / CDO LinkedIn · Jitendra Mangave 11.4K+ followers Web results Jitendra Mangave - CTO / CIO / CDO LinkedIn · Jitendra Mangave 11.4K+ followers LinkedIn · Jitendra Mangave 11.4K+ followers Mumbai, Maharashtra, India · CIO, CTO · Metro Brands Limited CTO / CIO / CDO . Metro Brands Limited DKTE'S Textile and Engineering Institute - An Empowered Autonomous Institute. Mumbai, Maharashtra, India . 11K followers ... Read more"
Sivakumar Nandipati,Chief Digital Officer | Driving GenAI,Unknown,Mumbai,sivakumarnandipati,https://www.linkedin.com/in/sivakumarnandipati/,google_browser,75,"Sivakumar Nandipati - Chief Digital Officer | Driving GenAI Sivakumar Nandipati - Chief Digital Officer | Driving GenAI ... LinkedIn · Sivakumar Nandipati 11.1K+ followers LinkedIn · Sivakumar Nandipati 11.1K+ followers Mumbai, Maharashtra, India · Chief Digital Officer (CDO) · Fedbank Financial Services Ltd - Fedfina Sivakumar Nandipati. Chief Digital Officer | Driving GenAI, AI, Data Analytics & Enterprise Transformation in BFSI & Fintech | Strategic Digital Impact | TEDx ... Read more"
Nilesh PANCHAL,Digital Transformation | CDO | CIO,Unknown,Mumbai,nileshmpanchal,https://www.linkedin.com/in/nileshmpanchal/,google_browser,75,"Nilesh PANCHAL - Digital Transformation | CDO | CIO LinkedIn · Nilesh PANCHAL 3K+ followers Nilesh PANCHAL - Digital Transformation | CDO | CIO LinkedIn · Nilesh PANCHAL 3K+ followers LinkedIn · Nilesh PANCHAL 3K+ followers Mumbai, Maharashtra, India · Chief Digital & Information Officer · BDO in India Experience · Chief Digital & Information Officer · Chief Digital Officer ( CDO ) · Lead Digital Officer & AGM - IT · Head - Software Development and Delivery · Senior ... Read more"
Pradeep Pandey,"Chief Digital Officer, LIC India",Unknown,Mumbai,pp3001,https://www.linkedin.com/in/pp3001/,google_browser,75,"Pradeep Pandey - Chief Digital Officer, LIC India LinkedIn · Pradeep Pandey 5.7K+ followers Web results Pradeep Pandey - Chief Digital Officer, LIC India LinkedIn · Pradeep Pandey 5.7K+ followers LinkedIn · Pradeep Pandey 5.7K+ followers Mumbai Metropolitan Region · Chief Digital Officer (CDO) · LIC Chief Digital Officer (CDO). LIC. Aug 2023 - Present 3 years 1 month. Mumbai, Maharashtra, India . As Chief Digital Officer for LIC India, I lead the Digital ... Read more"
Puesh Ajmani,"Chief Digital Officer, Tata Consulting",Unknown,Mumbai,puesh,https://www.linkedin.com/in/puesh/,google_browser,75,"Puesh Ajmani - Chief Digital Officer, Tata Consulting Puesh Ajmani - Chief Digital Officer, Tata Consulting ... LinkedIn · Puesh Ajmani 10.9K+ followers LinkedIn · Puesh Ajmani 10.9K+ followers Mumbai, Maharashtra, India · Chief Digital Officer · Tata Consulting Engineers Experience · Welspun World Graphic. President & Global Chief Digital Officer . Welspun World. Aug 2022 - Sep 2025 3 years 2 months. Mumbai, Maharashtra, India . Read more"
Sourabh Surendranath,Chief Digital Officer & Head product,Unknown,Mumbai,sourabh-surendranath-6547a383,https://www.linkedin.com/in/sourabh-surendranath-6547a383/,google_browser,75,"Sourabh Surendranath - Chief Digital Officer & Head product LinkedIn · Sourabh Surendranath 10.5K+ followers Sourabh Surendranath - Chief Digital Officer & Head product LinkedIn · Sourabh Surendranath 10.5K+ followers LinkedIn · Sourabh Surendranath 10.5K+ followers Chief Digital Officer & Head Products. SBI Securities. Jul 2023 - Present 3 years 2 months. Mumbai, Maharashtra, India . As the Chief Digital Officer (CDO) at ... Read more"
Mayuresh Purandare,CIO | CDO | Technology Evangelist,Unknown,Mumbai,imayuresh,https://www.linkedin.com/in/imayuresh/,google_browser,75,"Mayuresh Purandare - CIO | CDO | Technology Evangelist LinkedIn · Mayuresh Purandare 3.3K+ followers Mayuresh Purandare - CIO | CDO | Technology Evangelist LinkedIn · Mayuresh Purandare 3.3K+ followers LinkedIn · Mayuresh Purandare 3.3K+ followers Mumbai Area, India. CLP India Pvt. Ltd. Graphic. Sr. Manager IT. CLP India Pvt. Ltd. Jan 2017 - Jul 2019 2 years 7 months. Mumbai, Maharashtra, India . Working ... Read more"
