Name,Designation,Company,Location,LinkedIn ID,LinkedIn URL,Source,Confidence,Evidence
"Chris Chau, PPA",CIO/ CDO/ CISO/ CAIO type of IT guy,"A*STAR - Agency for Science, Technology and Research",Singapore,chrischaucc,https://www.linkedin.com/in/chrischaucc/,"ddgs, google_browser",90,"Chris Chau, PPA - CIO/ CDO/ CISO/ CAIO type of IT guy · Experience: A*STAR - Agency for Science, Technology and Research · Education: The University of Tokyo · Location: Singapore · 500+ connections on LinkedIn. View Chris Chau, PPA’s profile on LinkedIn, a professional community of 1 billion members. CIO, CTO, Shared Services IT Leadership, Board · Experienced Chief Information Officer with a demonstrated history of working in the insurance industry. Skilled in Business Process, Service Delivery, Risk Management, Business Process Improvement, and Project Management Office (PMO). Strong operations professional with a B.Sc. focused in Electrical Engineering from Brown University ... CIO / CTO - Cloud & Digital Transformation Leader | Enterprise Architecture | Infrastructure & Support | High-Performance Team Builder | APAC Experience · A highly accomplished and globally experienced technol Chris Chau, PPA - CIO/ CDO/ CISO/ CAIO type of IT guy LinkedIn · Chris Chau, PPA 2.6K+ followers Chris Chau, PPA - CIO/ CDO/ CISO/ CAIO type of IT guy LinkedIn · Chris Chau, PPA 2.6K+ followers LinkedIn · Chris Chau, PPA 2.6K+ followers CIO/ CDO/ CISO/ CAIO type of IT guy. A*STAR - Agency for Scien"
Claire P.,"CDIO, CIO , NED, Trustee and Founder. CIO100 list",Unilever,Singapore,claire-priestleycdio111,https://www.linkedin.com/in/claire-priestleycdio111/,ddgs,85,"Claire P. - CDIO, CIO , NED, Trustee and Founder. CIO100 list CDIO, CIO , NED, Trustee and Founder. CIO100 list :2018, 2019, 2020; Passionate about people, data, tech and inclusion. · Experienced CDIO / CIO CIO 100 2018, 2019, 2020 CDIO ; Founder - CIO+1. Winner - Future CIO of the Year 2017; Finalist CIO of the year 2018 Experienced in complex disaggregation, TOM and strategy design , organisational review and restructuring, leading and inspiring ... Nantha Subramanian ""🚀 CDIO, COO |Board Advisory | Driving Digital Transformation with Innovative Strategies & Cutting-Edge Technologies | Empowering Businesses to Thrive in the Digital Era 🌐"" Executive Assistant to the Chief Digital & Information Officer (CDIO) | Administrative Support & Executive Coordination · Experience: Unilever · Location: Singapore · 94 connections on LinkedIn. View Delinda Mohd’s profile on LinkedIn, a professional c"
Alvaro Garrido,CIO | CDO | AI | CISO,StanChart,Singapore,garridoalvaro,https://www.linkedin.com/in/garridoalvaro/,ddgs,85,"Alvaro Garrido - CIO | CDO | AI | CISO @ StanChart + Board Alvaro Garrido CIO | CDO | AI | CISO @ StanChart + Board Director @ MOX Bank | Business Fellow University of Aalto Singapore, Singapore 14K followers 500+ connections See your mutual connections Standard Chartered"
Yeow Loye S.,Chief Information Officer,Mandai Wildlife Group,Singapore,yeowloye,https://www.linkedin.com/in/yeowloye/,"ddgs, google_browser",90,"Yeow Loye S. - Chief Information Officer | IT Leadership LinkedIn · Yeow Loye S. 3.2K+ followers Location: Singapore, Singapore · Title: Chief Information Officer · Company: Mandai Wildlife Group Yeow Loye S. - Chief Information Officer | IT Leadership LinkedIn · Yeow Loye S. 3.2K+ followers LinkedIn · Yeow Loye S. 3.2K+ followers Singapore, Singapore · Chief Information Officer · Mandai Wildlife Group Singapore, Singapore . 3K followers 500+ connections. See your mutual connections. View mutual connections with Yeow Loye. Yeow Loye can introduce you to 10+ ... Read more Yeow Loye S. - Chief Information Officer | IT Leadership · Experience: Mandai Wildlife Group · Education: Nanyang Technological University · Location: Singapore · 500+ connections on LinkedIn. View Yeow Loye S.’s profile on LinkedIn, a professional community of 1 billion members."
Khang Leng Sing,Chief Information Officer,Ministry of,Singapore,khangleng,https://www.linkedin.com/in/khangleng/,"ddgs, google_browser",90,"Khang Leng Sing - Chief Information Officer at Ministry Location: Singapore · Title: Chief Information Officer · Company: Ministry of Manpower Khang Leng Sing - Chief Information Officer at Ministry ... LinkedIn · Khang Leng Sing 1K+ followers LinkedIn · Khang Leng Sing 1K+ followers Singapore · Chief Information Officer · Ministry of Manpower River Valley, Singapore, Singapore . Khang Leng Sing - Chief Information Officer at Ministry of · Experience: Ministry of Manpower · Education: The University of Manchester · Location: Singapore · 500+ connections on LinkedIn. View Khang Leng Sing’s profile on LinkedIn, a professional community of 1 billion members."
Dave Lim,Chief Information Officer | Chief Technology,UOB Kay Hian,Singapore,davelimky,https://www.linkedin.com/in/davelimky/,ddgs,85,"Dave Lim - Chief Information Officer | Chief Technology Effective management style capable of leading teams from various background, culture and seniority. · Experience: UOB Kay Hian · Education: University of Wollongong · Location: Singapore · 425 connections on LinkedIn. View Dave Lim’s profile on LinkedIn, a professional community of 1 billion members. Chief Information Officer | Global IT executive with over 20 years of experience leading technology organizations. Proven track record in managing large-scale transformations and building high-performing teams. · Location: Singapore · 500+ connections on LinkedIn. View Roman Lychman’s profile on LinkedIn, a professional community of 1 billion members. · Experience: Ministry of Manpower · Education: The University of Manchester · Location: Singapore · 500+ connections on LinkedIn. View Khang Leng Sing’s profile on LinkedIn, a professiona"
Roman Lychman,Chief Information Officer | Global IT,Ministry of Manpower,Singapore,roman-lychman,https://www.linkedin.com/in/roman-lychman/,ddgs,85,"Roman Lychman - Chief Information Officer | Global IT Chief Information Officer | Global IT executive with over 20 years of experience leading technology organizations. Proven track record in managing large-scale transformations and building high-performing teams. · Location: Singapore · 500+ connections on LinkedIn. View Roman Lychman’s profile on LinkedIn, a professional community of 1 billion members. · Experience: Ministry of Manpower · Education: The University of Manchester · Location: Singapore · 500+ connections on LinkedIn. View Khang Leng Sing’s profile on LinkedIn, a professional community of 1 billion members. Chief Information Officer, Asia at Lendlease · Experience: Lendlease · Education: University of Bradford · Location: Singapore · 500+ connections on LinkedIn. View David Tay’s profile on LinkedIn, a professional community of 1 billion members. Previous senior postions h"
Nantha Subramanian,""" CDIO, COO |Board Advisory | Driving",Unilever,Singapore,nanthasubramanian,https://www.linkedin.com/in/nanthasubramanian/,ddgs,85,"Nantha Subramanian - "" CDIO, COO |Board Advisory | Driving Nantha Subramanian ""🚀 CDIO, COO |Board Advisory | Driving Digital Transformation with Innovative Strategies & Cutting-Edge Technologies | Empowering Businesses to Thrive in the Digital Era 🌐"" Executive Assistant to the Chief Digital & Information Officer (CDIO) | Administrative Support & Executive Coordination · Experience: Unilever · Location: Singapore · 94 connections on LinkedIn. View Delinda Mohd’s profile on LinkedIn, a professional community of 1 billion members. Chief Digital & Information Officer (CDIO) | Global Digital Transformation & Enterprise Architecture | Ex-Unilever, Prestige Group | Driving Multi-Million Dollar P&L Growth via AI/ML & Platform Innovation | GCC Setup · As a Chief Digital &amp; Information Officer (CDIO) with 24 years of experience, I bridge board-level strategy and P&amp;L execution to drive enter"
Gaurav Dixit,Chief Digital and Information Officer,Savills Singapore,Singapore,gauravdixit-gd,https://www.linkedin.com/in/gauravdixit-gd/,ddgs,85,"Gaurav Dixit - Chief Digital and Information Officer Chief Digital and Information Officer · Technology professional with experience in orchestrating strategy and implementing analytical capabilities for 10+ Fortune 500 companies. Led stakeholder relationships with senior executives accountable for multibillion-dollar businesses and achieved sizeable business impact across Asia, US, and Europe. Established high-performing and diverse teams ... Chief Digital Transformation and Information Officer · Global CIO and C-Suite Leader with more 26+ years’ experience, driving digital transformation and strategy for Fortune 50 companies and leading people, programs and teams. Proficient in Executive stakeholder management and business partnering. Demonstrated exceptional leadership and management ability across multinational culture ... As a seasoned Technology and Innovation Director, I have lead"
Siow Chong Goh,"Chief Information Officer, Chief Data",Civil Service College,Singapore,siow-chong-goh-74451b33,https://www.linkedin.com/in/siow-chong-goh-74451b33/,ddgs,85,"Siow Chong Goh - Chief Information Officer, Chief Data Citi-YMCA Youth For Causes (YFC) is a community initiative started by Citi and the YMCA of Singapore in 2003. Funded by Citi Foundation, the programme is a catalyst to promote social entrepreneurship and community leadership development among Singapore youths. It provides youths aged 15 to 25 with a platform which includes seed funding, training and volunteer mentorship for executing self ... Jun 1, 2018 · 💻 Chief Data and Information Officer slaying digital transformation dragons by day 🐉 🗺️ Licensed SG tour guide by night — ask me about hidden gems & history! 🇸🇬 · Keen believer in the Digital-First approach and the value digital transformation can bring to an organisation! · Experience: Civil Service College · Education: Nanyang Technological University Singapore ... Kok Leong heads a team of highly passionate IT professionals in D"
